timestamp,d_ij,d_cpa,t_cpa,uav3_avoid,uav4_avoid,uav3_offset,uav4_offset,uav3_lat,uav3_lon,uav3_alt,uav4_lat,uav4_lon,uav4_alt
1788428459.6845741,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428459.88987,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428460.0909336,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428460.2945893,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428460.500992,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428460.7016613,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428460.9030051,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428461.1050801,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428461.3058581,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428461.5079734,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428461.7094707,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428461.9103565,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428462.1123154,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428462.312911,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
1788428462.5216742,847.3312000709402,847.3312000709402,0.0,False,False,1.993,1.9989999999999999,-7.7715867,110.3776145,0.007,-7.768846,110.3847907,0.001
