timestamp,d_ij,d_cpa,t_cpa,uav3_avoid,uav4_avoid,uav3_offset,uav4_offset,uav3_lat,uav3_lon,uav3_alt,uav4_lat,uav4_lon,uav4_alt
1788934477.1498442,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934477.3560286,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934477.5562782,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934477.7616794,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934477.963381,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934478.1692288,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934478.3703601,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934478.5714278,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934478.7735887,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934478.9765682,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934479.1828728,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934479.3886838,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934479.5926652,0.0,0.0,0.0,True,True,1.999,1.999,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.001
1788934479.8009813,0.114,0.114,0.0,True,True,1.9989999999999999,3.0,-7.768846,110.3847907,0.001,-7.768846,110.3847907,0.115
1788934480.0020857,0.275,0.275,0.0,True,True,1.948,5.1,-7.768846,110.3847907,0.052,-7.768846,110.3847907,0.327
1788934480.2105815,0.197,0.197,0.0,True,True,1.87,6.569999999999999,-7.768846,110.3847907,0.13,-7.768846,110.3847907,0.327
1788934480.4119399,0.502,0.502,0.0,True,True,1.87,7.598999999999999,-7.768846,110.3847907,0.13,-7.768846,110.3847907,0.632
1788934480.6132002,0.5512223026304273,0.5512223026304273,0.0,True,True,3.8514875560487876,10.257229279391192,-7.768846,110.3847907,0.382,-7.7688459,110.3847906,0.933
1788934480.8146622,0.609,0.609,0.0,True,True,2.779499392562507,9.772119970615382,-7.7688459,110.3847906,0.681,-7.7688459,110.3847906,1.29
1788934481.0227797,0.716,0.716,0.0,True,True,1.9872426570238266,9.635920457997202,-7.7688459,110.3847906,0.992,-7.7688459,110.3847906,1.708
1788934481.2245076,0.34799999999999986,0.34799999999999986,0.0,True,True,1.3589716682729658,9.645625501008007,-7.7688459,110.3847906,1.36,-7.7688459,110.3847906,1.708
